Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
baked-glow-setting-powder,Baked Glow Setting Powder,"<p>A baked, faintly luminous powder that sets without flattening the skin. Sweep lightly — it builds glow quickly.</p><ul><li>Size: 10g</li><li>Finish: Radiant</li><li>Category: Face — Powder</li></ul>",SHEGLAM,Powder,"Face, Powder, Radiant, Multi-Shade",TRUE,Shade,Translucent,,,,,SGPK-1015-TRANSLUCENT,35,shopify,12,deny,manual,1890,,TRUE,TRUE,,,,FALSE,Baked Glow Setting Powder | SHEGLAM PK,"Buy Baked Glow Setting Powder in Pakistan. A baked, faintly luminous powder that sets without flattening the skin. Sweep lightly — it builds glow quickly.",active
baked-glow-setting-powder,,,,,,,,Bubblegum,,,,,SGPK-1015-BUBBLEGUM,35,shopify,12,deny,manual,1890,,TRUE,TRUE,,,,,,,
hydro-touch-refreshing-setting-powder,Hydro-Touch Refreshing Setting Powder,<p>A weightless setting powder with a cooling finish for long days in heat. Keeps shine down without going chalky by evening.</p><ul><li>Size: 12g</li><li>Finish: Natural</li><li>Category: Face — Powder</li></ul>,SHEGLAM,Powder,"Face, Powder, Natural",TRUE,Title,Default Title,,,,,SGPK-1016,37,shopify,20,deny,manual,3590,,TRUE,TRUE,,,,FALSE,Hydro-Touch Refreshing Setting Powder | SHEGLAM PK,Buy Hydro-Touch Refreshing Setting Powder in Pakistan. A weightless setting powder with a cooling finish for long days in heat. Keeps shine down without going c,active
color-bloom-liquid-blush,Color Bloom Liquid Blush,<p>A pigmented liquid blush that blends to a seamless skin finish. Two drops is genuinely enough — start smaller than you think.</p><ul><li>Size: 6ml</li><li>Finish: Natural</li><li>Category: Face — Blush</li></ul>,SHEGLAM,Blush,"Face, Blush, Natural, Bestseller, Multi-Shade",TRUE,Shade,Pink Slip,,,,,SGPK-1017-PINK-SLIP,31,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,FALSE,Color Bloom Liquid Blush | SHEGLAM PK,Buy Color Bloom Liquid Blush in Pakistan. A pigmented liquid blush that blends to a seamless skin finish. Two drops is genuinely enough — start smaller than you,active
color-bloom-liquid-blush,,,,,,,,On Call,,,,,SGPK-1017-ON-CALL,31,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,,,,
color-bloom-liquid-blush,,,,,,,,Hot Topic,,,,,SGPK-1017-HOT-TOPIC,31,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,,,,
color-bloom-liquid-blush,,,,,,,,Love Cake,,,,,SGPK-1017-LOVE-CAKE,31,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,,,,
buttery-bliss-blush-stick,Buttery Bliss Blush Stick,<p>A creamy stick blush that draws on and melts out with a fingertip. Layer over cream products before any powder goes down.</p><ul><li>Size: 9g</li><li>Finish: Satin</li><li>Category: Face — Blush</li></ul>,SHEGLAM,Blush,"Face, Blush, Satin, Sale, Multi-Shade",TRUE,Shade,PHresh,,,,,SGPK-1018-PHRESH,34,shopify,12,deny,manual,1890,2290,TRUE,TRUE,https://sheglampk.com/assets/img/products/buttery-bliss-blush-stick.jpg,1,Buttery Bliss Blush Stick,FALSE,Buttery Bliss Blush Stick | SHEGLAM PK,Buy Buttery Bliss Blush Stick in Pakistan. A creamy stick blush that draws on and melts out with a fingertip. Layer over cream products before any powder goes d,active
buttery-bliss-blush-stick,,,,,,,,Sun Kissed,,,,,SGPK-1018-SUN-KISSED,34,shopify,12,deny,manual,1890,2290,TRUE,TRUE,,,,,,,
buttery-bliss-blush-stick,,,,,,,,Rosy,,,,,SGPK-1018-ROSY,34,shopify,12,deny,manual,1890,2290,TRUE,TRUE,,,,,,,
glass-glow-blush-stick,Glass Glow Blush Stick,"<p>A sheer, glassy blush stick that reads more like flushed skin than makeup. Best on bare or lightly covered skin.</p><ul><li>Size: 9g</li><li>Finish: Dewy</li><li>Category: Face — Blush</li></ul>",SHEGLAM,Blush,"Face, Blush, Dewy, Multi-Shade",TRUE,Shade,Pink Lemonade,,,,,SGPK-1019-PINK-LEMONAD,34,shopify,12,deny,manual,2290,,TRUE,TRUE,,,,FALSE,Glass Glow Blush Stick | SHEGLAM PK,"Buy Glass Glow Blush Stick in Pakistan. A sheer, glassy blush stick that reads more like flushed skin than makeup. Best on bare or lightly covered skin.",active
glass-glow-blush-stick,,,,,,,,Peach Fizz,,,,,SGPK-1019-PEACH-FIZZ,34,shopify,12,deny,manual,2290,,TRUE,TRUE,,,,,,,
sweet-cheeks-blush-trio,Sweet Cheeks Blush Trio,"<p>Three complementary matte powder blushes in one pan — use alone or blend together. Finely pressed, so no fallout on the cheeks.</p><ul><li>Size: 9g</li><li>Finish: Matte</li><li>Category: Face — Blush</li></ul>",SHEGLAM,Blush,"Face, Blush, Matte, Sale",TRUE,Title,Default Title,,,,,SGPK-1020,34,shopify,20,deny,manual,2190,2690,TRUE,TRUE,,,,FALSE,Sweet Cheeks Blush Trio | SHEGLAM PK,"Buy Sweet Cheeks Blush Trio in Pakistan. Three complementary matte powder blushes in one pan — use alone or blend together. Finely pressed, so no fallout on the",active
glow-bloom-liquid-highlighter,Glow Bloom Liquid Highlighter,<p>A liquid highlighter you can mix into foundation or place on the high points. Reflects rather than glitters.</p><ul><li>Size: 10ml</li><li>Finish: Radiant</li><li>Category: Face — Highlighter</li></ul>,SHEGLAM,Highlighter,"Face, Highlighter, Radiant, Multi-Shade",TRUE,Shade,Vanilla Frost,,,,,SGPK-1021-VANILLA-FROS,35,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,FALSE,Glow Bloom Liquid Highlighter | SHEGLAM PK,Buy Glow Bloom Liquid Highlighter in Pakistan. A liquid highlighter you can mix into foundation or place on the high points. Reflects rather than glitters.,active
glow-bloom-liquid-highlighter,,,,,,,,Rose Gold,,,,,SGPK-1021-ROSE-GOLD,35,shopify,12,deny,manual,1590,,TRUE,TRUE,,,,,,,
buttery-bling-highlight-stick,Buttery Bling Highlight Stick,"<p>A cream highlight stick with a fine, wet-looking sheen. Draw on the cheekbone and tap out with a damp sponge.</p><ul><li>Size: 9g</li><li>Finish: Shimmer</li><li>Category: Face — Highlighter</li></ul>",SHEGLAM,Highlighter,"Face, Highlighter, Shimmer, Multi-Shade",TRUE,Shade,Vanilla Frost,,,,,SGPK-1022-VANILLA-FROS,34,shopify,12,deny,manual,2190,,TRUE,TRUE,,,,FALSE,Buttery Bling Highlight Stick | SHEGLAM PK,"Buy Buttery Bling Highlight Stick in Pakistan. A cream highlight stick with a fine, wet-looking sheen. Draw on the cheekbone and tap out with a damp sponge.",active
buttery-bling-highlight-stick,,,,,,,,Champagne,,,,,SGPK-1022-CHAMPAGNE,34,shopify,12,deny,manual,2190,,TRUE,TRUE,,,,,,,
sun-sculpt-liquid-contour,Sun Sculpt Liquid Contour,<p>A cool-toned liquid contour that mimics real shadow instead of reading orange. Three shades cover fair through deep.</p><ul><li>Size: 10ml</li><li>Finish: Matte</li><li>Category: Face — Contour &amp; Bronzer</li></ul>,SHEGLAM,Contour & Bronzer,"Face, Contour & Bronzer, Matte, Bestseller, Multi-Shade",TRUE,Shade,Soft Tan,,,,,SGPK-1023-SOFT-TAN,35,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,FALSE,Sun Sculpt Liquid Contour | SHEGLAM PK,Buy Sun Sculpt Liquid Contour in Pakistan. A cool-toned liquid contour that mimics real shadow instead of reading orange. Three shades cover fair through deep.,active
sun-sculpt-liquid-contour,,,,,,,,Hazelnut Latte,,,,,SGPK-1023-HAZELNUT-LAT,35,shopify,12,deny,manual,1990,,TRUE,TRUE,,,,,,,
sun-sculpt-liquid-contour,,,,,,,,Espresso,,,,,SGPK-1023-ESPRESSO,35,shopify,6,deny,manual,1990,,TRUE,TRUE,,,,,,,
precision-sculpt-liquid-contour-duo,Precision Sculpt Liquid Contour Duo,"<p>Contour and a matching soft highlight in one double-ended tube. Built for quick, precise nose and jaw work.</p><ul><li>Size: 2 x 5ml</li><li>Finish: Matte</li><li>Category: Face — Contour &amp; Bronzer</li></ul>",SHEGLAM,Contour & Bronzer,"Face, Contour & Bronzer, Matte, Multi-Shade",TRUE,Shade,Soft Tan,,,,,SGPK-1024-SOFT-TAN,30,shopify,12,deny,manual,2290,,TRUE,TRUE,,,,FALSE,Precision Sculpt Liquid Contour Duo | SHEGLAM PK,"Buy Precision Sculpt Liquid Contour Duo in Pakistan. Contour and a matching soft highlight in one double-ended tube. Built for quick, precise nose and jaw work.",active
precision-sculpt-liquid-contour-duo,,,,,,,,Hazelnut Latte,,,,,SGPK-1024-HAZELNUT-LAT,30,shopify,12,deny,manual,2290,,TRUE,TRUE,,,,,,,
snatch-n-define-stick,Snatch 'n' Define Stick,<p>A firm cream contour stick that holds a sharp line before you blend it. Better than liquid for beginners learning placement.</p><ul><li>Size: 9g</li><li>Finish: Matte</li><li>Category: Face — Contour &amp; Bronzer</li></ul>,SHEGLAM,Contour & Bronzer,"Face, Contour & Bronzer, Matte, Multi-Shade",TRUE,Shade,Soft Tan,,,,,SGPK-1025-SOFT-TAN,34,shopify,12,deny,manual,1790,,TRUE,TRUE,,,,FALSE,Snatch 'n' Define Stick | SHEGLAM PK,Buy Snatch 'n' Define Stick in Pakistan. A firm cream contour stick that holds a sharp line before you blend it. Better than liquid for beginners learning place,active
snatch-n-define-stick,,,,,,,,Hazelnut Latte,,,,,SGPK-1025-HAZELNUT-LAT,34,shopify,12,deny,manual,1790,,TRUE,TRUE,,,,,,,
snatch-n-define-stick,,,,,,,,Espresso,,,,,SGPK-1025-ESPRESSO,34,shopify,6,deny,manual,1790,,TRUE,TRUE,,,,,,,
dream-touch-bronzer,Dream Touch Bronzer,<p>A warm powder bronzer for adding colour back after foundation. Use a fluffy brush and build in thin layers.</p><ul><li>Size: 10g</li><li>Finish: Satin</li><li>Category: Face — Contour &amp; Bronzer</li></ul>,SHEGLAM,Contour & Bronzer,"Face, Contour & Bronzer, Satin, Multi-Shade",TRUE,Shade,Golden Sun,,,,,SGPK-1026-GOLDEN-SUN,35,shopify,12,deny,manual,2090,,TRUE,TRUE,,,,FALSE,Dream Touch Bronzer | SHEGLAM PK,Buy Dream Touch Bronzer in Pakistan. A warm powder bronzer for adding colour back after foundation. Use a fluffy brush and build in thin layers.,active
dream-touch-bronzer,,,,,,,,Toffee,,,,,SGPK-1026-TOFFEE,35,shopify,12,deny,manual,2090,,TRUE,TRUE,,,,,,,
lock-d-in-setting-spray,Lock'd In Setting Spray,"<p>A fine-mist setting spray that locks makeup down for 16 hours. The mist is genuinely fine, so it melts powder edges instead of spotting them.</p><ul><li>Size: 80ml</li><li>Finish: Natural</li><li>Category: Face — Setting Spray</li></ul>",SHEGLAM,Setting Spray,"Face, Setting Spray, Natural, Bestseller",TRUE,Title,Default Title,,,,,SGPK-1027,105,shopify,20,deny,manual,2790,,TRUE,TRUE,,,,FALSE,Lock'd In Setting Spray | SHEGLAM PK,"Buy Lock'd In Setting Spray in Pakistan. A fine-mist setting spray that locks makeup down for 16 hours. The mist is genuinely fine, so it melts powder edges ins",active
matte-fresh-setting-spray,Matte Fresh Setting Spray,"<p>A shine-controlling finish spray for oily skin and humid days. Keeps the base matte without that tight, filmy feel.</p><ul><li>Size: 80ml</li><li>Finish: Matte</li><li>Category: Face — Setting Spray</li></ul>",SHEGLAM,Setting Spray,"Face, Setting Spray, Matte, Sale",TRUE,Title,Default Title,,,,,SGPK-1028,105,shopify,20,deny,manual,3190,3390,TRUE,TRUE,,,,FALSE,Matte Fresh Setting Spray | SHEGLAM PK,"Buy Matte Fresh Setting Spray in Pakistan. A shine-controlling finish spray for oily skin and humid days. Keeps the base matte without that tight, filmy feel.",active
